FileName,Expression,Answer
IMG_0336.JPG,4+3,7
IMG_0337.JPG,7+4,11
IMG_0338.JPG,6+2,8
IMG_0339.JPG,5+3,8
IMG_0340.JPG,4+1,5
IMG_0341.JPG,8+8,16
IMG_0342.JPG,9+0,9
IMG_0343.JPG,9+2-5,6
IMG_0344.JPG,6/3,2
IMG_0346.JPG,4*3,12
IMG_0347.JPG,6*6,36
IMG_0348.JPG,9/3,3
IMG_0349.JPG,6+14-12,8
IMG_0350.JPG,99/3+7,40
IMG_0351.JPG,6+12-3,15
IMG_0352.JPG,8*10,80
IMG_0353.JPG,6*4,24
IMG_0354.JPG,44*2-8,80
IMG_0355.JPG,5-1+0,4
IMG_0356.JPG,0/1,0
IMG_0358.JPG,8/4,2
IMG_0359.JPG,9/3,3
IMG_0360.JPG,6*8,48
IMG_0361.JPG,4+2,6
IMG_0362.JPG,6*9,54
IMG_0363.JPG,5-1,4
IMG_0364.JPG,8*8,64
IMG_0365.JPG,3+8,11
IMG_0366.JPG,9-4,5
IMG_0367.JPG,7-3,4
